"","Region_Name","Artist_Genres","GenreRatio"
"1","Argentina","pop",0.366213553368015
"2","Argentina","rock",0.0413025723887792
"3","Argentina","cantautor",0.000589588294844133
"4","Argentina","chicha",2.87212147172906e-05
"5","Argentina","reggaeton flow",0.0171061142876241
"6","Argentina","champeta",0.0174748353681809
"7","Argentina","edm",0.0193862477281205
"8","Argentina","cumbia",0.00340432279323162
"9","Argentina","dancehall",0.00668446066877504
"10","Argentina","boy band",0.0277793549154533
"11","Argentina","permanent wave",0.00355017267795807
"12","Argentina","latin",0.23860982300171
"13","Argentina","canadian hip hop",0.00184253841315006
"14","Argentina","cubaton",0.010259271336524
"15","Argentina","chamame",7.47605750523742e-05
"16","Argentina","cuarteto",0.00271117384573231
"17","Argentina","reggaeton",0.0626455923199828
"18","Argentina","deep house",0.000553243307755672
"19","Argentina","big room",0.00732433971768219
"20","Argentina","argentine indie",0.000630826741984165
"21","Argentina","cumbia chilena",0.00110243940103496
"22","Argentina","australian dance",0.00203183418560202
"23","Argentina","aussietronica",0.000967654087177938
"24","Argentina","cumbia villera",4.01350869517905e-05
"25","Argentina","canadian contemporary r&b",0.00748888442753023
"26","Australia","pop",0.479639517317454
"27","Australia","rock",0.0265703998403318
"28","Australia","tropical house",0.00254147938115972
"29","Australia","canadian contemporary r&b",0.0179639700495528
"30","Australia","brazilian electronica",0.000326263962613389
"31","Australia","hip hop",0.0321332504602948
"32","Australia","disney",0.000181614669729789
"33","Australia","reggae",2.85629686412669e-05
"34","Australia","edm",0.0586564104042253
"35","Australia","big room",0.0307667639729927
"36","Australia","rap-hiphop",0.0274967726103653
"37","Australia","australian indie",0.00321419781823206
"38","Australia","atl hip hop",0.0295658634067127
"39","Australia","permanent wave",0.000591783205304142
"40","Australia","deep big room",0.000815648934235047
"41","Australia","canadian hip hop",0.0233682831157632
"42","Australia","detroit hip hop",0.00668173444170838
"43","Australia","australian dance",0.0115239099702168
"44","Australia","deep tropical house",0.00389499364623705
"45","Australia","australian hip hop",0.010494152645837
"46","Australia","conscious hip hop",0.0340490941300223
"47","Australia","neo mellow",0.00385879158550293
"48","Australia","bulgarian hip hop",0.000608295921336988
"49","Australia","neo soul",0.00151201148821946
"50","Australia","deep house",0.000276605119232173
"51","Australia","aussietronica",0.0197640719845182
"52","Australia","alternative dance",0.00843282015412201
"53","Australia","indietronica",0.000909172654331715
"54","Australia","boy band",0.00507394931911786
"55","Australia","downtempo",0.000626070155140136
"56","Australia","indie folk",0.00821766138881448
"57","Austria","antideutsche",0.00056725642972714
"58","Austria","deep tropical house",0.00778376401788659
"59","Austria","pop",0.398079979337495
"60","Austria","rock",0.0502804680936199
"61","Austria","tropical house",0.0201322695886799
"62","Austria","canadian contemporary r&b",0.00902000426158948
"63","Austria","deep euro house",0.0105292649241423
"64","Austria","deep german hip hop",0.0263611151312472
"65","Austria","brazilian electronica",0.00223624247417169
"66","Austria","german hip hop",0.0997834377421206
"67","Austria","electro house",0.00741081104516074
"68","Austria","edm",0.0530764536865572
"69","Austria","permanent wave",0.00106707893320115
"70","Austria","deep big room",0.000362741607692645
"71","Austria","big room",0.0566706712101007
"72","Austria","hip hop",0.0232759701673867
"73","Austria","belgian dance",0.00314857101646576
"74","Austria","alternative metal",0.00987745978598326
"75","Austria","canadian hip hop",0.00826441843000135
"76","Austria","detroit hip hop",0.00920989905757814
"77","Austria","australian dance",0.00608362982498324
"78","Austria","schlager",5.80473699996229e-05
"79","Austria","neo soul",0.0065583101819577
"80","Austria","rap-hiphop",0.0108096214943216
"81","Austria","deep house",0.00160892892910848
"82","Austria","dutch hip hop",0.000205708471360049
"83","Austria","atl hip hop",0.00995259870411156
"84","Austria","a cappella",0.00118132075770234
"85","Austria","german indie",0.00541713205437167
"86","Austria","indie anthem-folk",0.00114072796786471
"87","Austria","brostep",0.0063909001379847
"88","Austria","aussietronica",0.00659512163013627
"89","Austria","canadian folk",0.000264993054529224
"90","Austria","boy band",0.00521420005200245
"91","Belgium","pop",0.40835808294084
"92","Belgium","rock",0.0300922752408115
"93","Belgium","tropical house",0.00867992863768207
"94","Belgium","canadian contemporary r&b",0.013175889796888
"95","Belgium","brazilian electronica",0.00112581590128942
"96","Belgium","christmas",0.000791404824994
"97","Belgium","adult standards",0.00839895867839119
"98","Belgium","belgian hip hop",0.0309846158171421
"99","Belgium","edm",0.0710834977600447
"100","Belgium","permanent wave",0.00213495430535753
"101","Belgium","deep big room",0.00277985403294164
"102","Belgium","hip hop",0.0231923366616377
"103","Belgium","belgian dance",0.0187393622323519
"104","Belgium","alternative metal",0.00290486666338039
"105","Belgium","canadian hip hop",0.015846259223911
"106","Belgium","big room",0.0456613629985915
"107","Belgium","disco",0.000797604540543795
"108","Belgium","australian dance",0.00386369613582021
"109","Belgium","deep tropical house",0.00290170753833633
"110","Belgium","neo mellow",0.00179070845433712
"111","Belgium","neo soul",0.00734197003637604
"112","Belgium","francoton",0.00421848437683984
"113","Belgium","icelandic indie",0.0011232099374242
"114","Belgium","deep house",0.00176528459184497
"115","Belgium","eurovision",0.00411160753076431
"116","Belgium","classic soul",0.00024942001634092
"117","Belgium","atl hip hop",0.0157461262746749
"118","Belgium","french hip hop",0.0210889484630308
"119","Belgium","folk",1.18660256771421e-05
"120","Belgium","mellow gold",2.52281009061321e-05
"121","Belgium","rap-hiphop",0.0136752309073909
"122","Belgium","aussietronica",0.00722275482244793
"123","Belgium","british invasion",0.000101104573254838
"124","Belgium","canadian folk",0.000109005079831763
"125","Belgium","boy band",0.00510856022509738
"126","Bolivia","pop",0.375235220335533
"127","Bolivia","champeta",0.0217523552265481
"128","Bolivia","edm",0.0334243986175495
"129","Bolivia","cumbia",0.00737793740966798
"130","Bolivia","dancehall",0.00539852765576636
"131","Bolivia","boy band",0.0329605544708281
"132","Bolivia","latin",0.242834904615492
"133","Bolivia","canadian hip hop",0.00443624745601928
"134","Bolivia","cubaton",0.0110413477960956
"135","Bolivia","reggaeton",0.0659196590430863
"136","Bolivia","big room",0.0170376963962164
"137","Bolivia","australian dance",0.00055493068240597
"138","Bolivia","canadian contemporary r&b",0.00879541377956042
"139","Brazil","pop",0.345177502213343
"140","Brazil","tropical house",0.000971740492251895
"141","Brazil","canadian contemporary r&b",0.00844299343912353
"142","Brazil","brazilian electronica",0.138238122640632
"143","Brazil","rock",0.0126062349817511
"144","Brazil","pagode",0.0307367920958278
"145","Brazil","sertanejo",0.0918201018187367
"146","Brazil","edm",0.0285503536739418
"147","Brazil","permanent wave",0.00184375288546372
"148","Brazil","baile funk",0.00122577381434895
